B2Li2Rh3;unknown;13-9-1;unknown;0
Ge4Ru3Yb2;unknown;16-14-8;unknown;0
GeLiRh2;full_heusler;9-14-1;51381.4714460913;71.3475
B4RhY;unknown;13-9-3;unknown;0
B4RhYb;unknown;16-13-9;unknown;0
B4RhTm;unknown;15-13-9;unknown;0
AsB12Li;unknown;15-13-1;unknown;0
Ga7Gd50Ge33;unknown;10-14-13;unknown;0
GaGd5Ge3;unknown;10-14-13;unknown;0
AlYb5Zn4;unknown;16-12-13;unknown;0
Au26Ga24Yb25;unknown;16-11-13;unknown;0
AuGaYb;half_heusler;16-11-13;16346.3781422331;146.581
La9Li4Rh2;unknown;3-9-1;unknown;0
Ag10La4Mg3;unknown;3-2-11;unknown;0
Ag103La40Mg120;unknown;3-2-11;unknown;0
BRh6Ti2;unknown;4-13-9;unknown;0
AgAs2Gd;full_heusler;15-10-11;130.168060120878;103.741
AgAs2Tb;full_heusler;11-15-11;303.457693858546;104.161
AgAs2La;full_heusler;3-15-11;118.393003953366;99.156
GeRh3Y2;unknown;9-14-3;unknown;0
Ge2MgY2;unknown;14-2-3;unknown;0
Ge2Lu2Mg;unknown;14-2-3;unknown;0
Er2Ge2Mg;unknown;14-14-2;unknown;0
Ge2MgTm2;unknown;15-14-2;unknown;0
As200La100Zn67;unknown;3-12-15;unknown;0
AlB2Mn2;unknown;7-13-13;unknown;0
Al14Yb35Zn321;unknown;16-12-13;unknown;0
Mn2YZn20;unknown;12-7-3;unknown;0
Ge16La11Li12;unknown;3-14-1;unknown;0
Ge3La2Li2;unknown;3-14-1;unknown;0
Ge4La3Li4;unknown;3-14-1;unknown;0
Ga7Ge3Yb3;unknown;16-14-13;unknown;0
Ga4Ge2Yb;unknown;16-14-13;unknown;0
Al43Gd6Mo4;unknown;6-10-13;unknown;0
Al43Gd6W4;unknown;6-10-13;unknown;0
Ge3Ru2Y3;unknown;14-8-3;unknown;0
Dy3Ge3Ru2;unknown;12-14-8;unknown;0
Ge22La21Mn10;unknown;3-7-14;unknown;0
B8Rh18Zn11;unknown;12-13-9;unknown;0
Bi2MnTi4;unknown;4-7-15;unknown;0
As3LaZn2;unknown;3-12-15;unknown;0
Al43Ti4Yb6;unknown;4-16-13;unknown;0
Al43W4Yb6;unknown;6-16-13;unknown;0
BiLuW;half_heusler;6-15-3;1787.32870638793;189.263333333333
AlMgZr;half_heusler;4-2-13;14.3032972893321;47.5036666666667
Al4Mo2Yb;unknown;16-6-13;unknown;0
Ge7La11Mg2;unknown;3-14-2;unknown;0
Ge6La4Mg5;unknown;3-14-2;unknown;0
Gd4Ge6Zn5;unknown;12-10-14;unknown;0
Ge6La4Mg7;unknown;3-14-2;unknown;0
GeLa6Mg23;unknown;3-14-2;unknown;0
Ge6La2Mg;unknown;3-14-2;unknown;0
AgAs4La2Zn;off-stoichiometric;3-12-15-11;unknown;0
AuBi2La;full_heusler;3-11-15;9180.57286692136;188.46
B2Ru5Ti3;unknown;4-13-8;unknown;0
Ga12Gd3Ru4;unknown;10-13-8;unknown;0
DyGe2Rh;full_heusler;12-9-14;18427.1644629508;102.6675
Ge2RhY;full_heusler;9-14-3;22303.7300937474;84.269
Al377Gd50Ru75;unknown;10-8-13;unknown;0
Al301Ru60Tb40;unknown;11-8-13;unknown;0
MgRhY;half_heusler;9-2-3;33653.3438188792;72.0403333333333
GdMgRh;half_heusler;10-9-2;25585.8733302867;94.8216666666667
MgRhTb;half_heusler;11-9-2;25688.7390148351;95.3816666666667
DyMgRh;half_heusler;12-9-2;25275.2733700361;96.5716666666667
Al20ErV2;unknown;14-5-13;unknown;0
Al33As100Ga67;unknown;15-13-13;unknown;0
Al7As10Ga3;unknown;15-13-13;unknown;0
AlAs2Ga;full_heusler;15-13-13;73.5041801832496;61.63725
AsBGa;half_heusler;15-13-13;268.065733492007;51.8183333333333
Al7As20Ga13;unknown;15-13-13;unknown;0
GdLuY;half_heusler;10-3-3;2420.5112189226;140.375333333333
AlAs10Ga9;unknown;15-13-13;unknown;0
LiMgMo;half_heusler;6-2-1;17.2993820511813;42.3983333333333
AlAs3Ga2;unknown;15-13-13;unknown;0
Al2As3Ga;unknown;15-13-13;unknown;0
GdGe2Mn2;unknown;7-10-14;unknown;0
GdGeTi;half_heusler;4-10-14;470.112768058701;92.5823333333333
As1000Ga963Mn37;unknown;15-7-13;unknown;0
Al2GeMn2;unknown;7-14-13;unknown;0
Al500As1000Ga499;unknown;15-13-13;unknown;0
Al499As1000Ga500;unknown;15-13-13;unknown;0
Al527As1000Ga473;unknown;15-13-13;unknown;0
Al473As1000Ga527;unknown;15-13-13;unknown;0
BiGaLi;half_heusler;13-15-1;71.9813165384763;95.2143333333333
As50Ga47Mn3;sums-up-to-100;15-7-13;unknown;0
Al29As100Ga71;unknown;15-13-13;unknown;0
AlVZn2;full_heusler;12-5-13;6.92932414559813;52.171
Al6As25Ga19;unknown;15-13-13;unknown;0
Al9As10Ga;unknown;15-13-13;unknown;0
GeMn2Ru;full_heusler;7-14-8;1433.35968361215;70.894
AgAlAu;half_heusler;11-11-13;20980.1771260495;110.607333333333
Al57As100Ga43;unknown;15-13-13;unknown;0
Al23As50Ga27;sums-up-to-100;15-13-13;unknown;0
